Edge 	Weight

 -  	0 
 - AAE 	0 
 - AAL 	0 
 - AAN 	0 
 - AAQ 	0 
 - AAR 	0 
 - AAT 	0 
 - AAX 	0 
 - AAY 	0 
 - ABA 	0 
 - ABB 	0 
 - ABD 	0 
 - ABE 	0 
 - ABI 	0 
 - ABJ 	0 
 - ABL 	0 
 - ABM 	0 
 - ABQ 	0 
 - ABR 	0 
 - ABS 	0 
 - ABT 	0 
 - ABV 	0 
 - ABX 	0 
 - ABY 	0 
 - ABZ 	0 
 - ACA 	0 
 - ACC 	0 
 - ACE 	0 
 - ACH 	0 
 - ACI 	0 
 - ACK 	0 
 - ACR 	0 
 - ACT 	0 
 - ACV 	0 
 - ACX 	0 
 - ACY 	0 
 - ACZ 	0 
 - ADA 	0 
 - ADB 	0 
 - ADD 	0 
 - ADE 	0 
 - ADF 	0 
 - ADK 	0 
 - ADL 	0 
 - ADQ 	0 
 - ADU 	0 
 - ADZ 	0 
 - AEB 	0 
 - AEP 	0 
(Ignore Parent of First Airport) - AER 	0 
 - AES 	0 
 - AET 	0 
 - AEX 	0 
 - AEY 	0 
 - AFA 	0 
 - AFL 	0 
 - AFZ 	0 
 - AGA 	0 
 - AGB 	0 
 - AGF 	0 
 - AGH 	0 
 - AGN 	0 
 - AGP 	0 
 - AGR 	0 
 - AGS 	0 
 - AGT 	0 
 - AGU 	0 
 - AGX 	0 
 - AHB 	0 
 - AHE 	0 
 - AHN 	0 
 - AHO 	0 
 - AHU 	0 
 - AIA 	0 
 - AIN 	0 
 - AIT 	0 
 - AIU 	0 
 - AJA 	0 
 - AJF 	0 
 - AJI 	0 
 - AJL 	0 
 - AJR 	0 
 - AJU 	0 
 - AKB 	0 
 - AKF 	0 
 - AKJ 	0 
 - AKK 	0 
 - AKL 	0 
 - AKN 	0 
 - AKP 	0 
 - AKU 	0 
 - AKV 	0 
 - AKX 	0 
 - AKY 	0 
 - ALA 	0 
 - ALB 	0 
 - ALC 	0 
 - ALF 	0 
 - ALG 	0 
 - ALH 	0 
 - ALO 	0 
 - ALS 	0 
 - ALW 	0 
 - AMA 	0 
 - AMD 	0 
 - AMH 	0 
 - AMM 	0 
 - AMQ 	0 
 - AMS 	0 
 - ANC 	0 
 - ANF 	0 
 - ANG 	0 
 - ANI 	0 
 - ANM 	0 
 - ANR 	0 
 - ANS 	0 
 - ANU 	0 
 - ANV 	0 
 - ANX 	0 
 - AOE 	0 
 - AOG 	0 
 - AOI 	0 
 - AOJ 	0 
 - AOK 	0 
 - AOO 	0 
 - AOR 	0 
 - APF 	0 
 - APL 	0 
 - APN 	0 
 - APO 	0 
 - APW 	0 
 - AQA 	0 
 - AQG 	0 
 - AQI 	0 
 - AQJ 	0 
 - AQP 	0 
 - ARC 	0 
 - ARH 	0 
 - ARI 	0 
 - ARK 	0 
 - ARM 	0 
 - ARN 	0 
 - ART 	0 
 - ARU 	0 
 - ARW 	0 
 - ASB 	0 
 - ASE 	0 
 - ASF 	0 
 - ASJ 	0 
 - ASM 	0 
 - ASO 	0 
 - ASP 	0 
 - ASR 	0 
 - ASU 	0 
 - ASV 	0 
 - ASW 	0 
 - ATA 	0 
 - ATC 	0 
 - ATD 	0 
 - ATH 	0 
 - ATK 	0 
 - ATL 	0 
 - ATM 	0 
 - ATQ 	0 
 - ATW 	0 
 - ATY 	0 
 - ATZ 	0 
 - AUA 	0 
 - AUC 	0 
 - AUG 	0 
 - AUH 	0 
 - AUK 	0 
 - AUQ 	0 
 - AUR 	0 
 - AUS 	0 
 - AUU 	0 
 - AUX 	0 
 - AUY 	0 
 - AVA 	0 
 - AVL 	0 
 - AVN 	0 
 - AVP 	0 
 - AVV 	0 
 - AWD 	0 
 - AWZ 	0 
 - AXA 	0 
 - AXD 	0 
 - AXK 	0 
 - AXM 	0 
 - AXP 	0 
 - AXR 	0 
 - AXT 	0 
 - AXU 	0 
 - AYP 	0 
 - AYQ 	0 
 - AYT 	0 
 - AZA 	0 
 - AZD 	0 
 - AZI 	0 
 - AZN 	0 
 - AZO 	0 
 - AZR 	0 
 - AZS 	0 
 - BAH 	0 
 - BAL 	0 
 - BAQ 	0 
 - BAV 	0 
 - BAX 	0 
 - BAY 	0 
 - BAZ 	0 
 - BBA 	0 
 - BBI 	0 
 - BBK 	0 
 - BBN 	0 
 - BBO 	0 
 - BCD 	0 
 - BCI 	0 
 - BCN 	0 
 - BDA 	0 
 - BDB 	0 
 - BDH 	0 
 - BDJ 	0 
 - BDL 	0 
 - BDO 	0 
 - BDP 	0 
 - BDQ 	0 
 - BDS 	0 
 - BDU 	0 
 - BEB 	0 
 - BEG 	0 
 - BEJ 	0 
 - BEL 	0 
 - BEN 	0 
 - BES 	0 
 - BET 	0 
 - BEU 	0 
 - BEW 	0 
 - BEY 	0 
 - BFD 	0 
 - BFF 	0 
 - BFI 	0 
 - BFJ 	0 
 - BFL 	0 
 - BFN 	0 
 - BFS 	0 
 - BFV 	0 
 - BGA 	0 
 - BGF 	0 
 - BGG 	0 
 - BGI 	0 
 - BGM 	0 
 - BGO 	0 
 - BGR 	0 
 - BGW 	0 
 - BGY 	0 
 - BHB 	0 
 - BHD 	0 
 - BHE 	0 
 - BHH 	0 
 - BHI 	0 
 - BHJ 	0 
 - BHK 	0 
 - BHM 	0 
 - BHO 	0 
 - BHQ 	0 
 - BHR 	0 
 - BHS 	0 
 - BHU 	0 
 - BHV 	0 
 - BHX 	0 
 - BHY 	0 
 - BIA 	0 
 - BIK 	0 
 - BIL 	0 
 - BIM 	0 
 - BIO 	0 
 - BIQ 	0 
 - BIR 	0 
 - BIS 	0 
 - BJA 	0 
 - BJB 	0 
 - BJF 	0 
 - BJI 	0 
 - BJL 	0 
 - BJM 	0 
 - BJR 	0 
 - BJV 	0 
 - BJX 	0 
 - BJZ 	0 
 - BKC 	0 
 - BKG 	0 
 - BKI 	0 
 - BKK 	0 
 - BKM 	0 
 - BKO 	0 
 - BKQ 	0 
 - BKS 	0 
 - BKW 	0 
 - BKY 	0 
 - BKZ 	0 
 - BLA 	0 
 - BLE 	0 
 - BLI 	0 
 - BLJ 	0 
 - BLK 	0 
 - BLL 	0 
 - BLQ 	0 
 - BLR 	0 
 - BLV 	0 
 - BLZ 	0 
 - BMA 	0 
 - BME 	0 
 - BMI 	0 
 - BMU 	0 
 - BMV 	0 
 - BMW 	0 
 - BMY 	0 
 - BNA 	0 
 - BNB 	0 
 - BNC 	0 
 - BND 	0 
 - BNE 	0 
 - BNI 	0 
 - BNK 	0 
 - BNN 	0 
 - BNS 	0 
 - BNX 	0 
 - BOB 	0 
 - BOC 	0 
 - BOD 	0 
 - BOG 	0 
 - BOH 	0 
 - BOI 	0 
 - BOJ 	0 
 - BOM 	0 
 - BON 	0 
 - BOO 	0 
 - BOS 	0 
 - BOY 	0 
 - BPL 	0 
 - BPN 	0 
